ContentID	Version	Name	Region	Field5	Field6	PKGLink	FileSize	Field9
HOMEBREW-0001	2009	NES – FCEU-PSP	PSP			https://archive.org/details/fceu-psp.7z	N/A	
HOMEBREW-0002	2011	NES – FCEUltra (Japanese)	PSP			https://archive.org/details/fceultra-j.-7z	N/A	
HOMEBREW-0003	2005	NES – Famicontest	PSP			https://archive.org/details/famicontest031.7z	N/A	
HOMEBREW-0004	2005	NES – InfoNES	PSP			https://archive.org/details/info-nes-r-03.7z	N/A	
HOMEBREW-0005	2007	NES – Little John NES	PSP			https://archive.org/details/lj-nes-psp.7z	N/A	
HOMEBREW-0006	2011	NES – Mednafen PSP	PSP			https://archive.org/details/mednafenPSP	N/A	
HOMEBREW-0007	2005	NES – NES (by REi)	PSP			https://archive.org/details/nes-05.7z	N/A	
HOMEBREW-0008	2011	NES – NesterJ 3D	PSP			https://archive.org/details/nester-j-3-d-a.-7z	N/A	
HOMEBREW-0009	2012	NES – NesterJ AoEX	PSP			https://archive.org/details/nintendo-nester-j-ao-ex-r-3.7z	N/A	
HOMEBREW-0010	2008	NES – NesterJ PSP for CN	PSP			https://archive.org/details/nester-j-0.3cn.-7z	N/A	
HOMEBREW-0011	2010	NES – NesterJ Plus RM	PSP			https://archive.org/details/nester-p.-7z_202106	N/A	
HOMEBREW-0012	2012	NES – NesterJ (Russian)	PSP			https://archive.org/details/nester-j	N/A	
HOMEBREW-0013	2016	NES – NesterJ RX Mod	PSP			https://archive.org/details/nester-j-112-rx-mod-20160324.7z	N/A	
HOMEBREW-0014	2010	NES – NesterJ	PSP			https://archive.org/details/nester-j-v-113beta-2	N/A	
HOMEBREW-0015	2006	NES – NesterJ Adhoc	PSP			https://archive.org/details/nester-j-v-1-20beta-2.7z	N/A	
HOMEBREW-0016	2011	NES – NesterJ (Chinese)	PSP			https://archive.org/details/nester-p.-7z	N/A	
HOMEBREW-0017	2006	NES – PSPFceUltra	PSP			https://archive.org/details/pspfceultra_rls_2.7z	N/A	
HOMEBREW-0018	2005	NES – Unofficial NesterJ	PSP			https://archive.org/details/uo_nj2.7z	N/A	
HOMEBREW-0019	2006	NES – e[mulator]	PSP			https://archive.org/details/emulator_082f.7z	N/A	
HOMEBREW-0020	2011	SNES – Snes9x Euphoria	PSP			https://archive.org/details/snes9x_euphoria_r5beta3.7z	N/A	
HOMEBREW-0021	2011	SNES – Snes9x Euphoria (no menu)	PSP			https://archive.org/details/snes-9x-euphoria-no-me.-7z	N/A	
HOMEBREW-0022	2005	SNES – Snes9x Unofficial	PSP			https://archive.org/details/snes-9-x-yoshihiro-optimized.-7z	N/A	
HOMEBREW-0023	2005	SNES – Snes9x (first PSP port)	PSP			https://archive.org/details/snes-9-x.-7z	N/A	
HOMEBREW-0024	2009	SNES – Snes9xTYL mecm	PSP			https://archive.org/details/s9xTYLmecm091115.7z	N/A	
HOMEBREW-0025	2006	SNES – SnesPSP TYL	PSP			https://archive.org/details/s9xTYL-0.4.2me.7z	N/A	
HOMEBREW-0026	2007	SNES – Snes9x TYL (ruka)	PSP			https://archive.org/details/snes-9x-tyl-0.4.2me.-7z	N/A	
HOMEBREW-0027	2018	SNES – s9xTYLme Mod	PSP			https://archive.org/details/s9xTYLme_mod.7z	N/A	
HOMEBREW-0028	2011	SNES – snes9x/1.52.81	PSP			https://archive.org/details/snes9x-1.52.81-psp.7z	N/A	
HOMEBREW-0029	2015	SNES – snes9xTYL (mod)	PSP			https://archive.org/details/s9xTYLmecm_mod.7z	N/A	
HOMEBREW-0030	2005	SNES – uo Snes9x	PSP			https://archive.org/details/uo_Snes9x-0.02pd2-20050728.7z	N/A	
HOMEBREW-0031	2010	SNES – uoSnes9x (ruka/y)	PSP			https://archive.org/details/y33Ruka0034.7z	N/A	
HOMEBREW-0032	2007	N64 – Daedalus	PSP			https://archive.org/details/daedalus.-7z	N/A	
HOMEBREW-0033	2019	N64 – DaedalusX64	PSP			https://archive.org/details/daedalus-x-64.7z	N/A	
HOMEBREW-0034	2006	N64 – Monkey64	PSP			https://archive.org/details/monkey-64-0311.7z	N/A	
HOMEBREW-0035	2006	N64 – Nincest 64	PSP			https://archive.org/details/nincest-64.7z	N/A	
HOMEBREW-0036	2010	N64 – Siren64	PSP			https://archive.org/details/siren-64-rev-466.-7z	N/A	
HOMEBREW-0037	2022	GB/C – FunkyBoy	PSP			https://archive.org/details/funky-boy-psp	N/A	
HOMEBREW-0038	2021	GB/C – Gambatte PSP SDL	PSP			https://archive.org/details/gambatte-psp-sdl	N/A	
HOMEBREW-0039	2006	GB/C – GeMP (Homer's RIN)	PSP			https://archive.org/details/ge-mp.-7z	N/A	
HOMEBREW-0040	2007	GB/C – MasterBoy (Brunni)	PSP			https://archive.org/details/masterboy.-7z	N/A	
HOMEBREW-0041	2015	GB/C – MasterBoy (theelf)	PSP			https://archive.org/details/masterboy-theelf.7z	N/A	
HOMEBREW-0042	2011	GB/C – Mednafen PSP	PSP			https://archive.org/details/mednafenPSP	N/A	
HOMEBREW-0043	2019	GB/C – PSP RIN (rewind)	PSP			https://archive.org/details/rin-1-32-rm.-7z	N/A	
HOMEBREW-0044	2006	GB/C – PSP-gnuboy	PSP			https://archive.org/details/pspgnuboy_rls.7z	N/A	
HOMEBREW-0045	2021	GB/C – PlutoBoy	PSP			https://archive.org/details/plutoboy.-7z	N/A	
HOMEBREW-0046	2005	GB/C – RIN (first PSP emu)	PSP			https://archive.org/details/gbemu.7z	N/A	
HOMEBREW-0047	2005	GB/C – RIN (N)	PSP			https://archive.org/details/rin_v1.32n1.2.7z	N/A	
HOMEBREW-0048	2017	GB/C – RIN RX	PSP			https://archive.org/details/rin-rx.-7z	N/A	
HOMEBREW-0049	2006	GB/C – SpiceBoy	PSP			https://archive.org/details/spice-boy.-7z	N/A	
HOMEBREW-0050	2006	GB/C – e[mulator]	PSP			https://archive.org/details/emulator_082f.7z	N/A	
HOMEBREW-0051	2011	Virtual Boy – Mednafen PSP	PSP			https://archive.org/details/mednafenPSP	N/A	
HOMEBREW-0052	2007	Virtual Boy – RedDragon	PSP			https://archive.org/details/reddragon20071019.7z	N/A	
HOMEBREW-0053	2006	GBA – GBA emulator (Miemt11)	PSP			https://archive.org/details/pspgba.-7z	N/A	
HOMEBREW-0054	2011	GBA – Mednafen PSP	PSP			https://archive.org/details/mednafenPSP	N/A	
HOMEBREW-0055	2006	GBA – PSPGBA	PSP			https://archive.org/details/pspgba-v-1.2.7z	N/A	
HOMEBREW-0056	2006	GBA – PSPVBA	PSP			https://archive.org/details/pspvba.7z	N/A	
HOMEBREW-0057	2013	GBA – TempGBA	PSP			https://archive.org/details/temp-gba.-7z_202102	N/A	
HOMEBREW-0058	2016	GBA – TempGBA4PSP-Mod	PSP			https://archive.org/details/temp-gba-4-psp-mod.-7z	N/A	
HOMEBREW-0059	2017	GBA – Unofficial gpSP Kai	PSP			https://archive.org/details/gp-sp-kai-v-3.4-test-4-b-230fat.-7z	N/A	
HOMEBREW-0060	2005	GBA – VBA (499氏)	PSP			https://archive.org/details/vbapsp.7z	N/A	
HOMEBREW-0061	2006	GBA – gpSP (gameplaySP)	PSP			https://archive.org/details/gpsp09.7z	N/A	
HOMEBREW-0062	2012	GBA – gpSP-J (Japanese)	PSP			https://archive.org/details/gpSP-J.7z	N/A	
HOMEBREW-0063	2009	GBA – gpSP-mod	PSP			https://archive.org/details/gpSPmod20090720.7z	N/A	
HOMEBREW-0064	2009	NDS – DSONPSP	PSP			https://archive.org/details/dsonpsp-beta-7-wip.-7z	N/A	
HOMEBREW-0065	2010	NDS – DSONPSP Mod	PSP			https://archive.org/details/dsonpsp-mod-by-rnb-psp.-7z	N/A	
